wordpress_section,wordpress_field_name,wordpress_api_name,wordpress_field_type,wordpress_storage,recommended_salesforce_object,salesforce_field_label,salesforce_field_api_name,salesforce_field_type,create_in_salesforce,external_id,unique,required_by_current_connector,notes
AAC Grant Applications User Meta,Application Date,aac_grant_applications[].application_date,datetime string,wp_usermeta,Grant_Application__c,Application Date,AAC_Grant_Applications_Record_Application_Date__c,Date/Time,Custom field,No,No,No,
AAC Grant Applications User Meta,Application Status,aac_grant_applications[].status,string,wp_usermeta,Grant_Application__c,Application Status,AAC_Grant_Applications_Record_Status__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Project Title,aac_grant_applications[].project_title,string,wp_usermeta,Grant_Application__c,Project Title,AAC_Grant_Applications_Record_Project_Title__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Requested Amount,aac_grant_applications[].requested_amount,string,wp_usermeta,Grant_Application__c,Requested Amount,AAC_Grant_Applications_Record_Requested_Amount__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Objective Location,aac_grant_applications[].objective_location,string,wp_usermeta,Grant_Application__c,Objective Location,AAC_Grant_Applications_Record_Objective_Location__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Discipline,aac_grant_applications[].discipline,string,wp_usermeta,Grant_Application__c,Discipline,AAC_Grant_Applications_Record_Discipline__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Team Name,aac_grant_applications[].team_name,string,wp_usermeta,Grant_Application__c,Team Name,AAC_Grant_Applications_Record_Team_Name__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Summary,aac_grant_applications[].summary,text,wp_usermeta,Grant_Application__c,Summary,AAC_Grant_Applications_Record_Summary__c,Long Text Area(32768),Custom field,No,No,No,
AAC Family Configuration User Meta,Family Mode,aac_partner_family_config.mode,string,wp_usermeta,Membership__c,Family Mode,AAC_Partner_Family_Config_Mode__c,Text(255),Custom field,No,No,No,
AAC Family Configuration User Meta,Additional Adult Selected,aac_partner_family_config.additional_adult,boolean,wp_usermeta,Membership__c,Additional Adult Selected,AAC_Partner_Family_Config_Additional_Adult__c,Checkbox,Custom field,No,No,No,
AAC Family Configuration User Meta,Dependent Count,aac_partner_family_config.dependent_count,integer,wp_usermeta,Membership__c,Dependent Count,AAC_Partner_Family_Config_Dependent_Count__c,"Number(18,0)",Custom field,No,No,No,
AAC Connected Accounts User Meta,Connected Account Slot ID,aac_connected_accounts[].id,string,wp_usermeta,Household_Link__c,Connected Account Slot ID,AAC_Connected_Accounts_Record_ID__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Connected Account Type,aac_connected_accounts[].type,string,wp_usermeta,Household_Link__c,Connected Account Type,AAC_Connected_Accounts_Record_Type__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Connected Account Label,aac_connected_accounts[].label,string,wp_usermeta,Household_Link__c,Connected Account Label,AAC_Connected_Accounts_Record_Label__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Connected Account Status,aac_connected_accounts[].status,string,wp_usermeta,Household_Link__c,Connected Account Status,AAC_Connected_Accounts_Record_Status__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Invite Code,aac_connected_accounts[].invite_code,string,wp_usermeta,Household_Link__c,Invite Code,AAC_Connected_Accounts_Record_Invite_Code__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Child User ID,aac_connected_accounts[].child_user_id,integer,wp_usermeta,Household_Link__c,Child User ID,AAC_Connected_Accounts_Record_Child_User_ID__c,"Number(18,0)",Custom field,No,No,No,
AAC Connected Accounts User Meta,Child Name,aac_connected_accounts[].child_name,string,wp_usermeta,Household_Link__c,Child Name,AAC_Connected_Accounts_Record_Child_Name__c,Text(255),Custom field,No,No,No,
AAC Connected Accounts User Meta,Child Email,aac_connected_accounts[].child_email,email/string,wp_usermeta,Household_Link__c,Child Email,AAC_Connected_Accounts_Record_Child_Email__c,Email,Custom field,No,No,No,
AAC Connected Accounts User Meta,Slot Price,aac_connected_accounts[].price,decimal,wp_usermeta,Household_Link__c,Slot Price,AAC_Connected_Accounts_Record_Price__c,"Number(18,2)",Custom field,No,No,No,
AAC Connected Accounts User Meta,Scheduled Removal Date,aac_connected_accounts[].scheduled_removal_date,date string,wp_usermeta,Household_Link__c,Scheduled Removal Date,AAC_Connected_Accounts_Record_Scheduled_Removal_Date__c,Date,Custom field,No,No,No,
Flat / Reportable AAC User Meta,AAC Member ID,aac_member_id,string,wp_usermeta,Contact,AAC Member ID,AAC_Member_ID__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,T-Shirt Size,aac_tshirt_size,string,wp_usermeta,Contact,T-Shirt Size,AAC_Tshirt_Size__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Legacy Publication Preference,aac_publication_pref,string,wp_usermeta,Contact,Legacy Publication Preference,AAC_Publication_Pref__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,AAJ Preference,aac_aaj_pref,string,wp_usermeta,Contact,AAJ Preference,AAC_Aaj_Pref__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,ANAC Preference,aac_anac_pref,string,wp_usermeta,Contact,ANAC Preference,AAC_Anac_Pref__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,ACJ Preference,aac_acj_pref,string,wp_usermeta,Contact,ACJ Preference,AAC_Acj_Pref__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Guidebook Preference,aac_guidebook_pref,string,wp_usermeta,Contact,Guidebook Preference,AAC_Guidebook_Pref__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Magazine Addons,aac_magazine_addons,array of strings,wp_usermeta,Contact,Magazine Addons,AAC_Magazine_Addons__c,Long Text Area(32768),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Magazine Subscription Labels,aac_magazine_subscription_labels,string,wp_usermeta,Contact,Magazine Subscription Labels,AAC_Magazine_Subscription_Labels__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Has Alpinist Subscription,aac_has_alpinist_subscription,string flag (`1`/`0`),wp_usermeta,Contact,Has Alpinist Subscription,AAC_Has_Alpinist_Subscription__c,Checkbox,Custom field,No,No,No,
Flat / Reportable AAC User Meta,Has Backcountry Subscription,aac_has_backcountry_subscription,string flag (`1`/`0`),wp_usermeta,Contact,Has Backcountry Subscription,AAC_Has_Backcountry_Subscription__c,Checkbox,Custom field,No,No,No,
Flat / Reportable AAC User Meta,Membership Discount Type,aac_membership_discount_type,string,wp_usermeta,Contact,Membership Discount Type,AAC_Membership_Discount_Type__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Partner Family Mode,aac_partner_family_mode,string,wp_usermeta,Contact,Partner Family Mode,AAC_Partner_Family_Mode__c,Text(255),Custom field,No,No,No,
Flat / Reportable AAC User Meta,Partner Family Additional Adult,aac_partner_family_additional_adult,string flag (`1`/`0`),wp_usermeta,Contact,Partner Family Additional Adult,AAC_Partner_Family_Additional_Adult__c,Checkbox,Custom field,No,No,No,
Flat / Reportable AAC User Meta,Partner Family Dependents,aac_partner_family_dependents,integer,wp_usermeta,Contact,Partner Family Dependents,AAC_Partner_Family_Dependents__c,"Number(18,0)",Custom field,No,No,No,
Flat / Reportable AAC User Meta,Family Account Role,aac_family_account_role,string,wp_usermeta,Contact,Family Account Role,AAC_Family_Account_Role__c,Text(255),Custom field,No,No,No,
Family Linkage User Meta,Linked Parent User ID,aac_linked_parent_user_id,integer,wp_usermeta,Household_Link__c,Linked Parent User ID,AAC_Linked_Parent_User_ID__c,"Number(18,0)",Custom field,No,No,No,
Family Linkage User Meta,Linked Account Slot ID,aac_linked_account_slot_id,string,wp_usermeta,Household_Link__c,Linked Account Slot ID,AAC_Linked_Account_Slot_ID__c,Text(255),Custom field,No,No,No,
Family Linkage User Meta,Linked Account Invite Code,aac_linked_account_invite_code,string,wp_usermeta,Household_Link__c,Linked Account Invite Code,AAC_Linked_Account_Invite_Code__c,Text(255),Custom field,No,No,No,
Family Linkage User Meta,Linked Account Type,aac_linked_account_type,string,wp_usermeta,Household_Link__c,Linked Account Type,AAC_Linked_Account_Type__c,Text(255),Custom field,No,No,No,
Family Linkage User Meta,Linked Account Label,aac_linked_account_label,string,wp_usermeta,Household_Link__c,Linked Account Label,AAC_Linked_Account_Label__c,Text(255),Custom field,No,No,No,
Family Linkage User Meta,Family Membership Access Until,aac_family_membership_access_until,date string,wp_usermeta,Household_Link__c,Family Membership Access Until,AAC_Family_Membership_Access_Until__c,Date,Custom field,No,No,No,
Family Linkage User Meta,Family Membership Pending Removal,aac_family_membership_pending_removal,string flag (`1`),wp_usermeta,Household_Link__c,Family Membership Pending Removal,AAC_Family_Membership_Pending_Removal__c,Checkbox,Custom field,No,No,No,
Salesforce Sync Helper User Meta,AAC External Key,aac_external_key,string,wp_usermeta,Membership__c,AAC External Key,AAC_External_Key__c,Text(255),Custom field,Yes,Yes,Yes,
Salesforce Sync Helper User Meta,Salesforce Contact ID,aac_sf_contact_id,string,wp_usermeta,Contact,Salesforce Contact ID,Salesforce_Contact_ID__c,Text(255),Custom field,No,No,No,Usually connector-managed; not required to create if Salesforce already provides Id values.
Salesforce Sync Helper User Meta,Salesforce Membership ID,aac_sf_membership_id,string,wp_usermeta,Membership__c,Salesforce Membership ID,Salesforce_Membership_ID__c,Text(255),Custom field,No,No,No,Usually connector-managed; not required to create if Salesforce already provides Id values.
PMPro Transaction Fields Already Available in WordPress,PMPro Order ID,pmpro_membership_orders.id,integer,pmpro_membership_orders,Payment_Transaction__c,PMPro Order ID,PMPro_Order_ID__c,"Number(18,0)",Custom field,Yes,Yes,Yes,
PMPro Transaction Fields Already Available in WordPress,WordPress User ID,pmpro_membership_orders.user_id,integer,pmpro_membership_orders,Payment_Transaction__c,WordPress User ID,WordPress_User_ID__c,"Number(18,0)",Custom field,No,No,Yes,
PMPro Transaction Fields Already Available in WordPress,Order Total,pmpro_membership_orders.total,decimal,pmpro_membership_orders,Payment_Transaction__c,Amount,Amount__c,"Number(18,2)",Custom field,No,No,Yes,
PMPro Transaction Fields Already Available in WordPress,Order Status,pmpro_membership_orders.status,string,pmpro_membership_orders,Payment_Transaction__c,Order Status,PMPRO_Membership_Orders_Status__c,Text(255),Custom field,No,No,No,
PMPro Transaction Fields Already Available in WordPress,Gateway,pmpro_membership_orders.gateway,string,pmpro_membership_orders,Payment_Transaction__c,Gateway,Gateway__c,Text(255),Custom field,No,No,Yes,
PMPro Transaction Fields Already Available in WordPress,Transaction Timestamp,pmpro_membership_orders.timestamp,datetime string,pmpro_membership_orders,Payment_Transaction__c,Transaction Date,Transaction_Date__c,Date/Time,Custom field,No,No,Yes,
PMPro Transaction Fields Already Available in WordPress,PMPro Membership Level ID,pmpro_membership_orders.membership_id,integer,pmpro_membership_orders,Payment_Transaction__c,PMPro Level ID,PMPro_Level_ID__c,"Number(18,0)",Custom field,No,No,No,
PMPro Transaction Fields Already Available in WordPress,Order Code,pmpro_membership_orders.code,string,pmpro_membership_orders,Payment_Transaction__c,Order Code,Code__c,Text(255),Custom field,No,No,No,
PMPro Transaction Fields Already Available in WordPress,Payment Transaction ID,pmpro_membership_orders.payment_transaction_id,string,pmpro_membership_orders,Payment_Transaction__c,Payment Transaction ID,Payment_Transaction_ID__c,Text(255),Custom field,No,No,No,
PMPro Transaction Fields Already Available in WordPress,Subscription Transaction ID,pmpro_membership_orders.subscription_transaction_id,string,pmpro_membership_orders,Payment_Transaction__c,Subscription Transaction ID,Subscription_Transaction_ID__c,Text(255),Custom field,No,No,No,
